link	date	content
http://twitter.com/zevlg/statuses/321739946002096128	2013-04-10 01:42:35 +0400	@cynepkot @anya_ane4ka фига вы мутанули в каканистый вторник. До #nastachku же ещё 3 дня, доживёте?
http://twitter.com/buxler/statuses/321727126174826497	2013-04-10 00:51:38 +0400	"Иду на доклад &#39;Контент-маркетинг. Как привлечь клиента, если он больше не хочет видеть рекламу?&#39; <a href=""http://t.co/knQXdGb72g"">nastachku.ru/lectures?works...</a> #nastachku"
http://twitter.com/vdv73rus/statuses/321726255743516673	2013-04-10 00:48:11 +0400	RT @rhamdeew: Выбрал на какие доклады стоит сходить #nastachku На доклад @vdv73rus  также планирую сходить. Засвияжье рулит =)
http://twitter.com/buxler/statuses/321724895371341824	2013-04-10 00:42:47 +0400	"Выступаю с докладом “SMM - это вам не MMM, или Почему не все «лайки» одинаково полезны?” <a href=""http://t.co/knQXdGb72g"">nastachku.ru/lectures?works...</a> #nastachku первый день,14:15"
http://twitter.com/GEN_DIR/statuses/321698495964782592	2013-04-09 22:57:52 +0400	"Выступаю с докладом &#39;Формы digital-коммуникаций. Как выбрать самый короткий путь к цели?&#39; <a href=""http://t.co/jHZxp8Dc2F"">nastachku.ru/lectures?works...</a> #nastachku утром 13-го"
http://twitter.com/AlexTachalova/statuses/321678187027390464	2013-04-09 21:37:10 +0400	RT @allintop: Прилетаем всем составом seo-секции в 22:10 - 11 апреля #nastachku
http://twitter.com/alexnosov/statuses/321670956714180608	2013-04-09 21:08:27 +0400	@YuriyGorlov Может, мне взять #uburu на @nastachku в Ульяновск, пофоткать? ;)
http://twitter.com/73Lion123/statuses/321635507870253056	2013-04-09 18:47:35 +0400	"Мне нравится конференция СТАЧКА - 2013! <a href=""http://t.co/PGiNxTvWle"">nastachku.ru</a> #nastachku via @nastachku"
http://vk.com/wall-46312385_243	2013-04-09 18:32:30 +0400	""
http://twitter.com/edu_v_it/statuses/321596415279263745	2013-04-09 16:12:15 +0400	"RT @nastachku: Под завесу первого дня в digital-секции будет жестокий и беспощадный батл на тему жизни и смерти сайтов #nastachku <a href=""http://t.co/E1wJ8GLvYj"">pic.twitter.com/E1wJ8GLvYj</a>"
http://twitter.com/Deadlinecamp/statuses/321584110122438657	2013-04-09 15:23:21 +0400	"RT @Wolf_Musing: &quot;@MosaicaNews Силиконовая долина в #ulsk <a href=""http://t.co/olrl8OjYqN"">habrahabr.ru/post/175983/#c...</a>&quot; #nastachku @Deadlinecamp"
http://twitter.com/Wolf_Musing/statuses/321562741871632384	2013-04-09 13:58:26 +0400	"&quot;@MosaicaNews Силиконовая долина в #ulsk <a href=""http://t.co/olrl8OjYqN"">habrahabr.ru/post/175983/#c...</a>&quot; #nastachku @Deadlinecamp"
http://twitter.com/pserv85/statuses/321559581841035264	2013-04-09 13:45:53 +0400	RT @GEN_DIR: Полпред ПФО Бабич и губернатор УО тоже придут #nastachku
http://twitter.com/Branding_/statuses/321559554691313664	2013-04-09 13:45:46 +0400	"RT @nastachku: Нина Калаус (Магвай)<a href=""http://t.co/H9ZWxh8scH"">magwai.ru</a> расскажет #nastachku как региональной веб-студии заполучить в портфолио крупные бренды."
http://twitter.com/nastachku/statuses/321556001939677184	2013-04-09 13:31:39 +0400	"Нина Калаус (Магвай)<a href=""http://t.co/H9ZWxh8scH"">magwai.ru</a> расскажет #nastachku как региональной веб-студии заполучить в портфолио крупные бренды."
http://twitter.com/lisovskyvlad/statuses/321554427083362305	2013-04-09 13:25:24 +0400	#nastachku столько классных докладов и многие идут параллельно, не могу выбрать куда пойти :)
http://twitter.com/plugin73/statuses/321534263612805120	2013-04-09 12:05:16 +0400	"Иду на доклад &#39;Tarantool: хранение данных на диске&#39; <a href=""http://t.co/zpusV8OznP"">nastachku.ru/lectures?works...</a> #nastachku"
http://twitter.com/nastachku/statuses/321527751796473856	2013-04-09 11:39:24 +0400	"Владимир Верховский (<a href=""http://t.co/RLcPDxGECc"">e-legion.ru</a>) Доклад: Mobile vs Web. В чём разница для заказчика? Узнаем <a href=""http://t.co/PsvUsBgIbz"">nastachku.ru</a>  #nastachku"
http://twitter.com/nastachku/statuses/321527569184870400	2013-04-09 11:38:40 +0400	"Владимир Верховский (e-legion.ru) Доклад: Mobile vs Web. В чём разница для заказчика? Узнаем <a href=""http://t.co/PsvUsBgIbz"">nastachku.ru</a> #nastachku #ulsk"
http://twitter.com/Alinka_Kalinka/statuses/321525291719749632	2013-04-09 11:29:37 +0400	"Иду на доклад &#39;Scrum. Почему Ретроспектива умирает первой.&#39; <a href=""http://t.co/MpQENgy3vR"">nastachku.ru/lectures?works...</a> #nastachku"
http://twitter.com/kortunov/statuses/321522224148410370	2013-04-09 11:17:26 +0400	А кто из Самары едет #nastachku? На чем вы едите и где живете?
http://twitter.com/vdv73rus/statuses/321510506156396544	2013-04-09 10:30:52 +0400	Классная подборка на «Яндекс.Музыке» — песни о космосе. Ко дню космонавтики. Слушаю сегодня, ибо в саму дата Стачка! #nastachku
http://twitter.com/Mei_Li_Kitten/statuses/321506092096057344	2013-04-09 10:13:20 +0400	@mokevnin @nastachku спасибо. а то сам негодую
http://twitter.com/andrebrov/statuses/321505637882273793	2013-04-09 10:11:32 +0400	"RT @nastachku: Сайт <a href=""http://t.co/PsvUsBgIbz"">nastachku.ru</a> недоступен из-за технических проблем у хостера. В течение часа обещают все исправить #nastachku"
http://twitter.com/mokevnin/statuses/321505448391999488	2013-04-09 10:10:46 +0400	@Mei_Li_Kitten @nastachku он самый.
http://twitter.com/Mei_Li_Kitten/statuses/321505227943583745	2013-04-09 10:09:54 +0400	@nastachku хостинг случайно не clodo.ru?
http://twitter.com/nastachku/statuses/321504506108059648	2013-04-09 10:07:02 +0400	"Сайт <a href=""http://t.co/PsvUsBgIbz"">nastachku.ru</a> недоступен из-за технических проблем у хостера. В течение часа обещают все исправить #nastachku"
http://twitter.com/GoblinGame/statuses/321502581887213568	2013-04-09 09:59:23 +0400	Чота @nastachku не пингуется даже :(
http://twitter.com/_nikbelikov/statuses/321491062071906304	2013-04-09 09:13:36 +0400	"Упала? <a href=""http://t.co/T42zwtydZY"">nastachku.ru</a>"
http://twitter.com/levwalkin/statuses/321416166302183424	2013-04-09 04:16:00 +0400	@_vsv_ @nastachku а, сорри, это в раздел «Microsoft: несбыточные мечты. Too little, too late» ;)
http://twitter.com/_vsv_/statuses/321415756086657024	2013-04-09 04:14:22 +0400	@levwalkin @nastachku про Azure особенно порадовало
http://twitter.com/ulstu/statuses/321346890081914880	2013-04-08 23:40:43 +0400	RT @GEN_DIR: Полпред ПФО Бабич и губернатор УО тоже придут #nastachku
http://twitter.com/torodea/statuses/321340227589398528	2013-04-08 23:14:15 +0400	"RT @kostya_sokolov: Приходите послушать мой второй интересный доклад #nastachku о скевоморфизме и плоском дизайне в пятницу в 18:00! <a href=""http://t.co/kLuJlvApbS"">nastachku.ru/schedule</a>"
http://twitter.com/alexnosov/statuses/321339884147191810	2013-04-08 23:12:53 +0400	Думал поехать @nastachku и изучить для клиентов оба аэропорта и авиакомпании «Полёт» и UTair. Рейс отменили, так что только хардкор, UTair.
http://twitter.com/GEN_DIR/statuses/321335936636030976	2013-04-08 22:57:12 +0400	Полпред ПФО Бабич и губернатор УО тоже придут #nastachku
http://twitter.com/kuzma_73/statuses/321259946215886848	2013-04-08 17:55:14 +0400	. @dmitriystepanov #nastachku нагуй гламур. Только @HYTPb ! Только hardcore!
http://vk.com/wall-36051360_186	2013-04-08 17:40:16 +0400	""
http://twitter.com/dmitriystepanov/statuses/321255305633746944	2013-04-08 17:36:48 +0400	А кто-нибудь собирается на афтерпати после #nastachku ?
http://twitter.com/allintop/statuses/321231589126311936	2013-04-08 16:02:33 +0400	@AlexTachalova @nastachku посмотрим
http://twitter.com/AlexTachalova/statuses/321231063395467265	2013-04-08 16:00:28 +0400	@allintop @nastachku Ничего в Ульяновске обещают,что будет посолнечнее)
http://twitter.com/allintop/statuses/321230574356410368	2013-04-08 15:58:31 +0400	@AlexTachalova @nastachku ну у нас неделю назад было покруче :)
http://twitter.com/alexnosov/statuses/321229879133757441	2013-04-08 15:55:46 +0400	@rakotomancer Ненене! @nastachku ждёт меня. С новыми авиабилетами выступать лечу. Теперь UTair!
http://twitter.com/AlexTachalova/statuses/321229759675768833	2013-04-08 15:55:17 +0400	"@allintop @nastachku Дело идет в гору в отличие от Питерской весны:) <a href=""http://t.co/r1KYYKFLqk"">pic.twitter.com/r1KYYKFLqk</a>"
