"link","date","content"
"http://twitter.com/ITM_future/statuses/321985379748167680","2013-04-10","#ulsk внимание! Компания  #ITM разыграет ПЛАНШЕТ, поэтому все #nastachku vk.com/itmfuture?w=wa...#ulsk внимание! Компания  #ITM разыграет ПЛАНШЕТ, поэтому все #nastachku vk.com/itmfuture?w=wa...оригинал сохранённая копия1 ч. 21 мин. назадitm_futureв избранноеретвитответить"
"http://twitter.com/ITM_future/statuses/321980747567206400","2013-04-10","Как привлечь клиента, если он больше не может видеть рекламу? Узнать об этом можно, придя #nastachku #ulsk #ITM vk.com/itmfuture?w=wa...Как привлечь клиента, если он больше не может видеть рекламу? Узнать об этом можно, придя #nastachku #ulsk #ITM vk.com/itmfuture?w=wa...оригинал сохранённая копия1 ч. 40 мин. назадitm_futureв избранноеретвитответить"
"http://twitter.com/UlyanovskUI/statuses/321979899051139072","2013-04-10","40 часов до nastachku.ru pic.twitter.com/R9X3aZiax840 часов до nastachku.ru pic.twitter.com/R9X3aZiax8оригинал сохранённая копия1 ч. 43 мин. назадulyanovskuiв избранноеретвитответить"
"http://twitter.com/VladFromRussia/statuses/321976814820024320","2013-04-10","Айтишная жизнь в культурной столице постепенно замирает — все делают последние приготовления перед выходом #nastachku ;)Айтишная жизнь в культурной столице постепенно замирает — все делают последние приготовления перед выходом #nastachku ;)оригинал сохранённая копия1 ч. 55 мин. назадvladfromrussiaв избранноеретвитответить"
"http://vk.com/wall-46312385_246","2013-04-10","Пока все готовятся к докладам на Стачке, мы думали, чем порадовать всех гостей ... показать полный тексторигинал сохранённая копияпоказать полный текст2 ч. 54 мин. назадitmfuturevk.com/itmfuture"
"http://twitter.com/orlenkokn/statuses/321958789077151744","2013-04-10","@mista_k конфа, про которую я говорил nastachku.ru@mista_k конфа, про которую я говорил nastachku.ruоригинал сохранённая копия3 ч. 7 мин. назадorlenkoknв избранноеретвитответить"
"http://twitter.com/vdv73rus/statuses/321958558004563969","2013-04-10","У нас сейчас внутренний тест-драйв докладов #nastachku ) Я следующий ) #undevУ нас сейчас внутренний тест-драйв докладов #nastachku ) Я следующий ) #undevоригинал сохранённая копия3 ч. 8 мин. назадvdv73rusв избранноеретвитответить"
"http://twitter.com/partos_/statuses/321957872529465344","2013-04-10","Сегодня слушаем доклады #undev, которые будут #nastachku. Интересно и круто. Приходите слушать!Сегодня слушаем доклады #undev, которые будут #nastachku. Интересно и круто. Приходите слушать!оригинал сохранённая копия3 ч. 11 мин. назадpartos_в избранноеретвитответить"
"http://twitter.com/Webrok/statuses/321955056469540864","2013-04-10","Кто сможет меня взять из Самары #nastachku 12 утром? С меня бензин! =)Кто сможет меня взять из Самары #nastachku 12 утром? С меня бензин! =)оригинал сохранённая копия3 ч. 22 мин. назадwebrokв избранноеретвитответить"
"http://twitter.com/nastachku/statuses/321954200928006145","2013-04-10","Павел Мищенко (ЦРУ)@internet73 во 2 стачкодень устроит вам утро пожирателей кейсов от агентства ЦРУ nastachku.ru #nastachkuПавел Мищенко (ЦРУ)@internet73 во 2 стачкодень устроит вам утро пожирателей кейсов от агентства ЦРУ nastachku.ru #nastachkuоригинал сохранённая копия3 ч. 25 мин. назадnastachkuв избранноеретвитответить"
