link	date	content
http://twitter.com/_nikbelikov/statuses/318797235397742594	2013-04-01 22:49:18 +0400	"RT <ns0:user name=""Jay7t"" server=""twitter.com"">@Jay7t</ns0:user>: <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> перевалила за 2000 человек! Сейчас там 2002 зарегистрировавшихся!"
http://twitter.com/Jay7t/statuses/318795012617940994	2013-04-01 22:40:28 +0400	"<ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> перевалила за 2000 человек! Сейчас там 2002 зарегистрировавшихся!"
http://twitter.com/sharov/statuses/318756040806129664	2013-04-01 20:05:36 +0400	"Интересные новости про <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> <ns0:tag name=""ulsk"" server=""twitter.com"">#ulsk</ns0:tag> просочились. Возможно будет отменена. Подробности позже."
http://twitter.com/ArtKirillov/statuses/318744046833115137	2013-04-01 19:17:57 +0400	"12 апреля кто куда, а я на СТАЧКУ - 2013! <a href=""http://t.co/XCxxLmPM4q"" xhref=""http://nastachku.ru"">nastachku.ru</a> <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> с помощью <ns0:user name=""nastachku"" server=""twitter.com"">@nastachku</ns0:user>"
http://twitter.com/cynepkot/statuses/318731021975699456	2013-04-01 18:26:12 +0400	"RT <ns0:user name=""kelvich"" server=""twitter.com"">@kelvich</ns0:user>: Подготовка к <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> <a href=""http://t.co/hU3SD2UaPk"" xhref=""http://twitter.com/kelvich/status/318730645465620481/photo/1"">pic.twitter.com/hU3SD2UaPk</a>"
http://twitter.com/kelvich/statuses/318730645465620481	2013-04-01 18:24:42 +0400	"Подготовка к <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> <a href=""http://t.co/hU3SD2UaPk"" xhref=""http://twitter.com/kelvich/status/318730645465620481/photo/1"">pic.twitter.com/hU3SD2UaPk</a>"
http://twitter.com/nastachku/statuses/318704090513305601	2013-04-01 16:39:11 +0400	"Алексей Палажченко(<ns0:tag name=""Express42"" server=""twitter.com"">#Express42</ns0:tag>)Доклад:Go в бою, где &quot;я расскажу про наше использование Go в production&quot; <a href=""http://t.co/PsvUsBgIbz"" xhref=""http://nastachku.ru/"">nastachku.ru</a> <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag>"
http://twitter.com/nastachku/statuses/318663761881874432	2013-04-01 13:58:55 +0400	"Михаил Бланк@mishablank (<ns0:tag name=""Далее"" server=""twitter.com"">#Далее</ns0:tag>)<ns0:user name=""dalee_agency"" server=""twitter.com"">@dalee_agency</ns0:user> Доклад:Digital-стратегия для бренда:виды и примеры.Уже скоро <a href=""http://t.co/PsvUsBgIbz"" xhref=""http://nastachku.ru/"">nastachku.ru</a> <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag>"
http://twitter.com/Jay7t/statuses/318644896976207872	2013-04-01 12:43:58 +0400	"RT <ns0:user name=""nastachku"" server=""twitter.com"">@nastachku</ns0:user>: Алексей Лебедев (<ns0:tag name=""Mamba"" server=""twitter.com"">#Mamba</ns0:tag>) Доклад: Анализ и статистика почтовых рассылок. <a href=""http://t.co/PsvUsBgIbz"" xhref=""http://nastachku.ru/"">nastachku.ru</a> <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> <ns0:tag name=""ulsk"" server=""twitter.com"">#ulsk</ns0:tag>"
http://twitter.com/nastachku/statuses/318629234555899904	2013-04-01 11:41:44 +0400	"Алексей Лебедев (<ns0:tag name=""Mamba"" server=""twitter.com"">#Mamba</ns0:tag>) Доклад: Анализ и статистика почтовых рассылок. <a href=""http://t.co/PsvUsBgIbz"" xhref=""http://nastachku.ru/"">nastachku.ru</a> <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> <ns0:tag name=""ulsk"" server=""twitter.com"">#ulsk</ns0:tag>"
http://twitter.com/nastachku/statuses/318620572672196608	2013-04-01 11:07:18 +0400	"<ns0:tag name=""ufacity"" server=""twitter.com"">#ufacity</ns0:tag> <ns0:tag name=""ekb"" server=""twitter.com"">#ekb</ns0:tag> <ns0:tag name=""kazan"" server=""twitter.com"">#kazan</ns0:tag> <ns0:tag name=""samara"" server=""twitter.com"">#samara</ns0:tag> <ns0:tag name=""jaroslavl"" server=""twitter.com"">#jaroslavl</ns0:tag> <ns0:tag name=""rostov"" server=""twitter.com"">#rostov</ns0:tag> <ns0:tag name=""chelly"" server=""twitter.com"">#chelly</ns0:tag> <ns0:tag name=""izhevsk"" server=""twitter.com"">#izhevsk</ns0:tag> <ns0:tag name=""penza"" server=""twitter.com"">#penza</ns0:tag> <ns0:tag name=""kirov"" server=""twitter.com"">#kirov</ns0:tag> Есть <ns0:tag name=""it"" server=""twitter.com"">#it</ns0:tag> -шники?!Приезжайте <a href=""http://t.co/PsvUsBgIbz"" xhref=""http://nastachku.ru/"">nastachku.ru</a> <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag>"
http://twitter.com/buxler/statuses/318605422107975680	2013-04-01 10:07:06 +0400	"<ns0:user name=""vitalijahmerov"" server=""twitter.com"">@vitalijahmerov</ns0:user> <ns0:user name=""TurkovskayaOlga"" server=""twitter.com"">@TurkovskayaOlga</ns0:user> <ns0:user name=""Ezhoff"" server=""twitter.com"">@Ezhoff</ns0:user> может и <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> останется :)"
