link,date,content
http://twitter.com/ITM_future/statuses/321985379748167680,2013-04-10,"#ulsk внимание! Компания  #ITM разыграет ПЛАНШЕТ, поэтому все #nastachku vk.com/itmfuture?w=wa..."
http://twitter.com/ITM_future/statuses/321980747567206400,2013-04-10,"Как привлечь клиента, если он больше не может видеть рекламу? Узнать об этом можно, придя #nastachku #ulsk #ITM vk.com/itmfuture?w=wa..."
http://twitter.com/UlyanovskUI/statuses/321979899051139072,2013-04-10,40 часов до nastachku.ru pic.twitter.com/R9X3aZiax8
http://twitter.com/VladFromRussia/statuses/321976814820024320,2013-04-10,Айтишная жизнь в культурной столице постепенно замирает — все делают последние приготовления перед выходом #nastachku ;)
http://vk.com/wall-46312385_246,2013-04-10,"Пока все готовятся к докладам на Стачке, мы думали, чем порадовать всех гостей ... показать полный текст"
http://twitter.com/orlenkokn/statuses/321958789077151744,2013-04-10,"@mista_k конфа, про которую я говорил nastachku.ru"
http://twitter.com/vdv73rus/statuses/321958558004563969,2013-04-10,У нас сейчас внутренний тест-драйв докладов #nastachku ) Я следующий ) #undev
http://twitter.com/partos_/statuses/321957872529465344,2013-04-10,"Сегодня слушаем доклады #undev, которые будут #nastachku. Интересно и круто. Приходите слушать!"
http://twitter.com/Webrok/statuses/321955056469540864,2013-04-10,Кто сможет меня взять из Самары #nastachku 12 утром? С меня бензин! =)
http://twitter.com/nastachku/statuses/321954200928006145,2013-04-10,Павел Мищенко (ЦРУ)@internet73 во 2 стачкодень устроит вам утро пожирателей кейсов от агентства ЦРУ nastachku.ru #nastachku
http://twitter.com/internet73/statuses/321952097581027328,2013-04-10,"Полным ходом идет подготовка  #nastachku Доклады от @twcrafter  и @Take_Brain,обновленный дизайн.Скоро ЦРУ предстанет перед вами по-новому;)"
http://twitter.com/Shamil__Ka/statuses/321945848466534400,2013-04-10,"@MosaicaNews @Take_Brain в жизни похож, тот еще хипстер =) да и в #nastachku можно будет его найти =)"
http://twitter.com/MosaicaNews/statuses/321935647973720065,2013-04-10,"#ulsk, вы собираетесь #nastachku?  mosaica.ru/news/biznes/20..."
http://twitter.com/plugin73/statuses/321924076820115456,2013-04-10,@SumSeaBreeze репетиции для стачки! Если хочешь послушать то тебе сюда - nastachku.ru =) Вход бесплатный ;)
http://twitter.com/alexnosov/statuses/321910460540665856,2013-04-10,"@ksun9sh Нет, я выступаю в Ульяновске. Еду @nastachku."
http://twitter.com/nastachku/statuses/321896155019628544,2013-04-10,"Александра Тачалова@AlexTachalova (SEMrush) откроет секрет контента, который работает 24/7 nastachku.ru #nastachku #ulsk"
http://twitter.com/nastachku/statuses/321871278724227072,2013-04-10,"Михаил Казаков@medvedkrevedkov (Pichesky)@pichesky ""Поговорим об измерении присутствия бренда в соц.сетях"" #nastachku #ulsk"
http://twitter.com/gongled/statuses/321867605134688256,2013-04-10,"Отменил себе и группе серьёзные пары в пятницу, чтобы попасть #nastachku и услышать доклад @vdv73rus. Годнота требует жертв."
http://twitter.com/ultop_ru/statuses/321866068157149185,2013-04-10,"Ура, товарищи! Всероссийская бесплатная ""Стачка"" уже в пятницу, мемцентр! Доклады для широкого круга: ultop.ru/news/9909/ #nastachku #uln"
